neuron,concept,concept_id,metric
589,hand blower,n03483316,0.9883
590,hand-held computer,n03485407,0.9984
591,handkerchief,n03485794,0.9936
592,hard disc,n03492542,0.9980
593,harmonica,n03494278,0.9970
594,harp,n03495258,0.9990
595,tractor,n04465501,0.9973
596,hammer,n03481172,0.9861
597,holster,n03527444,0.9979
598,home theater,n03529860,0.9974
599,honeycomb,n03530642,0.9989
600,chain,n02999410,0.9687
601,hoopskirt,n03534580,0.9991
602,horizontal bar,n03535780,0.9980
603,horse cart,n03538406,0.9992
604,hourglass,n03544143,0.9997
605,ipod,n03584254,0.9957
606,iron,n03584829,0.9873
607,jack-o'-lantern,n03590841,0.9996
608,jean,n03594734,0.9860
609,jeep,n03594945,0.9968
610,jersey,n03595614,0.9910
611,jigsaw puzzle,n03598930,0.9907
612,jinrikisha,n03599486,0.9998
613,joystick,n03602883,0.9919
614,kimono,n03617480,0.9943
615,knee pad,n03623198,0.9969
616,knot,n03627232,0.9902
617,lab coat,n03630383,0.9959
618,hot pot,n07590611,0.9885
619,lampshade,n03637318,0.9949
620,computer keyboard,n03085013,0.9929
621,lawn mower,n03649909,0.9966
622,reflex camera,n04069434,0.9969
623,letter opener,n03658185,0.9872
624,library,n03661043,0.9985
625,lifeboat,n03662601,0.9992
626,lighter,n03666591,0.9939
627,limousine,n03670208,0.9990
628,liner,n03673027,0.9995
629,lipstick,n03676483,0.9917
630,loafer,n03680355,0.9937
631,lotion,n03690938,0.9957
632,loudspeaker,n03691459,0.9918
633,loupe,n03692522,0.9945
634,lumbermill,n03697007,0.9972
635,magnetic compass,n03706229,0.9946
636,backpack,n02769748,0.9925
637,mailbox,n03710193,0.9936
638,bikini,n02837789,0.9975
639,maillot,n03710721,0.9983
640,manhole cover,n03717622,0.9999
641,maraca,n03720891,0.9951
642,marimba,n03721384,0.9994
643,mask,n03724870,0.9906
644,matchstick,n03729826,0.9972
645,maypole,n03733131,0.9992
646,maze,n03733281,0.9870
647,measuring cup,n03733805,0.9964
648,medicine chest,n03742115,0.9981
649,megalith,n03743016,0.9988
650,microphone,n03759954,0.9869
651,microwave,n03761084,0.9979
652,military uniform,n03763968,0.9948
653,milk can,n03764736,0.9957
654,minibus,n03769881,0.9976
655,miniskirt,n03770439,0.9945
656,minivan,n03770679,0.9984
657,missile,n03773504,0.9959
658,mitten,n03775071,0.9986
659,mixing bowl,n03775546,0.9982
