neuron,concept,concept_id,metric
749,meat loaf,n07871810,0.9543
750,castle,n02980441,0.9506
751,monarch,n02279972,0.9877
752,african crocodile,n01697457,0.9649
753,knee pad,n03623198,0.9643
754,lens cap,n03657121,0.9286
755,hartebeest,n02422106,0.9632
756,puffer,n02655020,0.9722
757,volleyball,n04540053,0.9624
758,water ouzel,n01601694,0.9604
759,yellow lady's slipper,n12057211,0.9855
760,bison,n02410509,0.9755
761,great grey owl,n01622779,0.9771
762,water buffalo,n02408429,0.9583
763,dalmatian,n02110341,0.9692
764,irish setter,n02100877,0.9861
765,custard apple,n07760859,0.9410
766,volleyball,n04540053,0.9324
767,lacewing,n02264363,0.9596
