neuron,concept,concept_id,metric
86,waterfall,355,0.8976
87,"florist shop, indoor",147,0.9082
88,auto showroom,29,0.9876
89,kasbah,200,0.9465
90,engine room,133,0.9342
91,auto showroom,29,0.9743
92,locker room,219,0.9420
93,rock arch,289,0.9689
94,"swimming pool, indoor",325,0.9660
95,ski resort,304,0.9470
96,"escalator, indoor",135,0.9387
97,"jacuzzi, indoor",195,0.9519
98,"garage, outdoor",157,0.9549
99,bedchamber,51,0.9694
100,butchers shop,72,0.9391
101,promenade,273,0.9421
102,youth hostel,363,0.9496
103,playroom,269,0.9831
104,"synagogue, outdoor",327,0.9600
105,runway,293,0.9346
106,laundromat,208,0.9792
107,islet,194,0.9297
108,"escalator, indoor",135,0.9619
109,excavation,136,0.9648
110,"movie theater, indoor",235,0.9234
111,"gazebo, exterior",159,0.9004
112,"greenhouse, outdoor",166,0.9311
113,ice shelf,187,0.9819
114,iceberg,190,0.9530
115,biology laboratory,56,0.8833
116,"florist shop, indoor",147,0.9555
117,"canal, urban",79,0.9860
118,ball pit,34,0.9416
119,"escalator, indoor",135,0.9318
120,"desert, sand",116,0.9689
121,waterfall,355,0.9428
122,"parking garage, outdoor",256,0.9426
123,islet,194,0.9456
124,iceberg,190,0.9599
125,"hunting lodge, outdoor",184,0.9641
126,bamboo forest,36,0.9735
127,swimming hole,324,0.9266
128,"gazebo, exterior",159,0.9256
129,"ice skating rink, outdoor",189,0.9280
130,"cabin, outdoor",74,0.8507
131,orchestra pit,250,0.9769
132,engine room,133,0.9312
133,racecourse,275,0.9752
134,"arena, hockey",15,0.9900
135,islet,194,0.9305
136,"elevator, door",129,0.9562
137,"arena, hockey",15,0.9882
138,playroom,269,0.9327
139,volcano,350,0.9459
140,"stadium, baseball",312,0.9946
141,sandbox,294,0.9198
142,throne room,331,0.9162
143,bowling alley,64,0.9202
144,medina,227,0.8361
145,youth hostel,363,0.9454
146,water tower,354,0.9572
147,"general store, outdoor",161,0.9167
148,gas station,158,0.9519
149,manufactured home,221,0.9201
150,"florist shop, indoor",147,0.9871
151,reception,280,0.9173
152,dining room,121,0.9577
153,dam,113,0.9292
154,"desert, vegetation",117,0.9556
155,pagoda,251,0.9661
156,"arena, rodeo",17,0.9798
157,archaelogical excavation,13,0.9479
158,airplane cabin,1,0.9931
159,television studio,329,0.9734
160,airplane cabin,1,0.9734
161,auto showroom,29,0.9836
162,attic,26,0.9573
163,kasbah,200,0.9569
164,grotto,167,0.9751
165,badlands,30,0.9114
166,"swimming pool, outdoor",326,0.9660
167,viaduct,347,0.9742
168,jewelry shop,198,0.9593
169,stable,311,0.9426
170,"swimming pool, indoor",325,0.9920
171,orchestra pit,250,0.9428
172,carrousel,83,0.9989
173,wave,357,0.9007
174,pagoda,251,0.9162
175,boat deck,58,0.9648
176,"bus station, indoor",71,0.8974
177,auto showroom,29,0.9859
178,veterinarians office,346,0.9359
179,restaurant kitchen,285,0.9528
180,wind farm,360,0.9953
181,beer hall,54,0.9298
182,golf course,164,0.9773
183,boardwalk,57,0.9748
184,waterfall,355,0.9379
185,bookstore,60,0.9564
186,"escalator, indoor",135,0.9706
187,landing deck,207,0.9154
188,grotto,167,0.9542
189,"gazebo, exterior",159,0.9616
190,"underwater, ocean deep",342,0.9477
191,"parking garage, outdoor",256,0.9363
192,kasbah,200,0.9338
193,aquarium,9,0.9655
194,oilrig,247,0.9549
195,"florist shop, indoor",147,0.9429
196,bathroom,45,0.9636
